"Classement","Title","Vidéo","Image de couverture","Référence groupe musculaire","Muscle cible","Position de depart","Mouvement","Intensite","Thème","serie","Contre-indication","Vidéos (Title)","Programmes-multireference","ID","Created Date","Updated Date","Owner"
18,"Crunch sur ballon pieds au sol + triceps","wix:video://v1/bf2cdd_be5331614a644af99afdccee4fe178c1/18.%20Crunch%20sur%20le%20ballon%20pieds%20au%20sol%20+%20triceps%20F%20(1).mp4#posterUri=bf2cdd_be5331614a644af99afdccee4fe178c1f000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/bf2cdd_ddf2b9194a1f42948c17de6a2ba3e708~mv2.png/18.png#originWidth=2395&originHeight=1223","61628dfe-73ca-4e31-9ee8-f74deca4b3f9","<p class=""font_8"">Droit de l’abdomen, transverse, triceps et épaule.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">Fessier et haut du dos sur le ballon.</p></li>
  <li><p class=""font_8"">Bras tendus au-dessous de la tête.</p></li>
  <li><p class=""font_8"">Genoux fléchis et pieds au sol.</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Relever le buste, en gardant l’espace d’un point entre le menton et le corps.</p></li>
  <li><p class=""font_8"">Maintenir les bras tendus.</p></li>
  <li><p class=""font_8"">Redescendre en posant le haut du dos sur le ballon, bras tendus.</p></li>
  <li><p class=""font_8"">Fléchir les coudes et amener l’haltère derrière la tête.</p></li>
  <li><p class=""font_8"">Puis tendre les bras.</p></li>
  <li><p class=""font_8"">Expirez en faisant le mouvement.</p></li>
</ol>","[""Avancé""]","[""Crunch""]","<p class=""font_8""><strong>3x 15 à 20</strong> répétitions</p>","<p class=""font_8"">épicondylite</p>","/videos/crunch-sur-ballon-pieds-au-sol-%2B-triceps",,"00ccd394-3da0-46e0-b311-e2c360aca58f",2024-02-08T09:13:05Z,2024-02-16T19:53:35Z,"bf2cdd2d-7f76-485d-a6fe-ff64bca3e5c0"
61,"Extension de hanche à quatre pattes jambes tendues","wix:video://v1/bf2cdd_e5c41a2b39e74affb163843ecc7c0679/61.%20Extension%20de%20hanche%20%C3%A0%20quatre%20pattes%20jambes%20tendues%20(1).mp4#posterUri=bf2cdd_e5c41a2b39e74affb163843ecc7c0679f000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/bf2cdd_2a2a6a66d3b44a5fa0ba15c2433b8bce~mv2.png/61.png#originWidth=2376&originHeight=1275","3adfd7b8-6131-4f87-bb02-4374a997e7a9","<p class=""font_8"">Fessier, épaules, abdominaux.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">A quatre pattes, en appui sur les avant-bras.</p></li>
  <li><p class=""font_8"">Coudes et épaules alignées.</p></li>
  <li><p class=""font_8"">Genoux et hanche forme un angle de 90°.</p></li>
  <li><p class=""font_8"">Une jambe tendue.</p></li>
  <li><p class=""font_8"">Courbe lombaire neutre.</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Monter la jambe un peu plus haut que le fessier.</p></li>
  <li><p class=""font_8"">Revenir toucher la pointe des pieds au sol et repartir.</p></li>
  <li><p class=""font_8"">Expirer lors de la montée.</p></li>
</ol>","[""Tout niveau""]","[""Extension""]","<p class=""font_8""><strong>3x15</strong> répétitions</p>","<p class=""font_8"">aucune</p>
<p class=""font_8""><br></p>","/videos/extension-de-hanche-%C3%A0-quatre-pattes-jambes-tendues",,"015ea778-b847-454a-b6d9-f07fc550b75b",2024-02-12T15:34:36Z,2024-02-16T19:56:49Z,"bf2cdd2d-7f76-485d-a6fe-ff64bca3e5c0"
,,,,,,,,"[""Tout niveau""]",,,,,,"016bbc96-bf3f-47f3-bb72-68ca6a6e164c",2024-02-12T15:37:54Z,2024-02-12T16:37:35Z,"bf2cdd2d-7f76-485d-a6fe-ff64bca3e5c0"
18,"DV militaire position de fente + haltères","wix:video://v1/796ff8_3f2f5fa61b5b44159f0451bb1d9cdd1b/18.%20DV%20militaire%20debout%20+%20halt%C3%A8re.mp4#posterUri=796ff8_3f2f5fa61b5b44159f0451bb1d9cdd1bf000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/796ff8_c565f63473d34e2f9aff6929620d31b3~mv2.png/Capture%20d'%C3%A9cran%202024-02-06%20111948.png#originWidth=1905&originHeight=979","cea3c21b-9f4f-4cab-b39a-cdd91f40291a","<p class=""font_8"">épaules, biceps, abdominaux.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">En appui sur la jambe avant, le genou légèrement fléchit. L’autre jambe est en arrière.</p></li>
  <li><p class=""font_8"">Les coudes fléchis et les haltères au niveau des épaules.</p></li>
  <li><p class=""font_8"">Les poignets dirigés vers l’extérieur.</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Monter les haltères vers l’avant et au-dessus de la tête.</p></li>
  <li><p class=""font_8"">Revenir lentement en fléchissant les coudes, en position de départ.</p></li>
  <li><p class=""font_8"">Tenir les abdominaux.</p></li>
</ol>","[""Avancé"",""Intermédiaire""]","[""Élévation frontale et latérale""]","<p class=""font_8""><strong>3x12 </strong>répétitions</p>","<p class=""font_8"">problème d’épaule</p>","/videos/dv-militaire-position-de-fente-%2B-halt%C3%A8res",,"01b831c0-1437-4f7e-995e-dc3cf9813b38",2024-02-06T09:46:17Z,2024-02-22T10:48:33Z,"796ff8d4-ffae-4c88-896b-2c1dc46fb8d3"
13,"Abduction des hanches incliné + petits mouvements","wix:video://v1/bf2cdd_708519a31bf840e89fe109fe4e702016/13.%20Fessier%20abduction%20de%20hanche%20inclin%C3%A9%20+%20petits%20mouvements%20(1).mp4#posterUri=bf2cdd_708519a31bf840e89fe109fe4e702016f000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/bf2cdd_e5147d100ada4e9484fc377da7c622a3~mv2.png/Machine_13.png#originWidth=2345&originHeight=1221","0bf221d1-ef71-4b55-bbab-98af50c1c6bf","<p class=""font_8"">Abducteur, TFL, moyen fessier.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">Assis avec le dos incliné vers l’avant.</p></li>
  <li><p class=""font_8"">Les genoux contre les coussinets intérieurs.</p></li>
  <li><p class=""font_8"">Les pieds placer sur la première barre des plateaux.</p></li>
</ul>","<ul class=""font_8"">
  <li><p class=""font_8"">Ouvrir le plus possible les hanches sans bouger le bassin.</p></li>
  <li><p class=""font_8"">Maintenir le mouvement et faire de petits mouvements.</p></li>
</ul>","[""Intermédiaire""]","[""Fessier""]","<p class=""font_8""><strong>3x 12</strong> répétitions</p>","<p class=""font_8"">aucune</p>","/videos/abduction-des-hanches-inclin%C3%A9-%2B-petits-mouvements",,"01bc28c1-ac84-4aec-a783-e35e9ab64a0a",2024-02-13T15:28:23Z,2024-02-14T10:58:31Z,"bf2cdd2d-7f76-485d-a6fe-ff64bca3e5c0"
36,"Rowing sur 1 jambe + 1 bras","wix:video://v1/bf2cdd_e4e0ae2f49384048be71317b1054cb00/36.%20Rowing%20sur%20une%20jambe%20+%201%20bras%20(1).mp4#posterUri=bf2cdd_e4e0ae2f49384048be71317b1054cb00f000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/bf2cdd_1b59ea02678c4771a0f6a36eef949556~mv2.png/36.png#originWidth=2381&originHeight=1314","b046fccd-0996-438e-a013-1c0582cd4a60","<p class=""font_8"">Grand dorsal, biceps, cheville.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">Le genou légèrement fléchit et la cheville de la jambe avant sont alignés.</p></li>
  <li><p class=""font_8"">Le pied de la jambe arrière décollé.</p></li>
  <li><p class=""font_8"">Bras tendu vers le bas.</p></li>
  <li><p class=""font_8"">Courbe lombaire neutre.</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Maintenir la posture en équilibre et tirer le coude vers l’arrière.</p></li>
  <li><p class=""font_8"">La main vient à hauteur de la taille.</p></li>
  <li><p class=""font_8"">Tenir les abdominaux.</p></li>
</ol>","[""Intermédiaire"",""Avancé""]","[""Rowing""]","<p class=""font_8""><strong>3X15</strong> répétitions</p>","<p class=""font_8"">aucune</p>","/videos/rowing-sur-1-jambe-%2B-1-bras",,"0261311a-ce80-4acd-9847-e93d07df2565",2024-02-13T19:26:50Z,2024-02-16T19:59:26Z,"bf2cdd2d-7f76-485d-a6fe-ff64bca3e5c0"
16,"Développé couché guidé sur machine Smith","wix:video://v1/bf2cdd_83c5689f447c4324beb0ce9652825eb7/16.%20Pectoraux%20DV%20couch%C3%A9%20%C3%A0%20la%20barre%20guid%C3%A9e%20Smith%20(1).mp4#posterUri=bf2cdd_83c5689f447c4324beb0ce9652825eb7f000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/bf2cdd_f4cc9b04c6534a70b743d3c0a2447353~mv2.png/Machine_16.png#originWidth=2402&originHeight=1227","0bf221d1-ef71-4b55-bbab-98af50c1c6bf","<p class=""font_8"">Pectoraux, triceps.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">Couché sur le banc, courbe lombaire neutre et les pieds ancrés au sol.</p></li>
  <li><p class=""font_8"">Les bras tendus avec la barre à hauteur du haut de la poitrine.</p></li>
  <li><p class=""font_8"">Prise de la barre large.</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Débloquer la barre en la soulevant et en tournant les poignets.</p></li>
  <li><p class=""font_8"">Descendre la barre sur le haut de la poitrine en fléchissant les coudes.</p></li>
  <li><p class=""font_8"">Remonter la barre bras tendu sans bloquer les coudes à hauteur du haut de la poitrine.</p></li>
  <li><p class=""font_8"">Tenir les abdominaux.</p></li>
</ol>","[""Tout niveau""]","[""Pectoraux""]","<p class=""font_8""><strong>3x 12</strong> répétitions</p>","<p class=""font_8"">épaule, épicondylite</p>","/videos/d%C3%A9velopp%C3%A9-couch%C3%A9-guid%C3%A9-sur-machine-smith",,"0306a6c0-54dd-42e4-a775-422f0c2c6e7d",2024-02-13T15:28:27Z,2024-02-14T10:58:53Z,"bf2cdd2d-7f76-485d-a6fe-ff64bca3e5c0"
10,"Extension de jambes tendues et bras tendus avec/sans poids","wix:video://v1/796ff8_3972e01cefb44fd992110ecf506a4f09/10.%20Extension%20de%20jambes%20tendues%20+%20ant%C3%A9pulsion%20avec%20disque%20F.mp4#posterUri=796ff8_3972e01cefb44fd992110ecf506a4f09f000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/796ff8_d3a3a54be81a48a9ab6970a63f0bd185~mv2.png/Capture%20d'%C3%A9cran%202024-02-06%20000102.png#originWidth=1905&originHeight=993","61628dfe-73ca-4e31-9ee8-f74deca4b3f9","<p class=""font_8"">Transverse – muscle profond de l’abdomen, épaule</p>","<ul class=""font_8"">
  <li><p class=""font_8"">Coude et épaule alignés en appuie sur les genoux.</p></li>
  <li><p class=""font_8"">Tête dans le prolongement de la colonne.</p></li>
  <li><p class=""font_8"">Courbe lombaire neutre.</p></li>
  <li><p class=""font_8"">Genoux fléchis.</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Maintenir la position en contractant un peu les abdominaux.</p></li>
  <li><p class=""font_8"">Inspirer avec le nez et expirer avec la bouche.</p></li>
</ol>","[""Avancé"",""Intermédiaire""]","[""Extension de jambes""]","<p class=""font_8""><strong>3x 15</strong> répétitons</p>","<p class=""font_8"">douleur lombaire</p>","/videos/extension-de-jambes-tendues-et-bras-tendus-avec%2Fsans-poids",,"032adaec-56be-48f8-8c07-d8c34ce1c281",2024-02-05T10:34:17Z,2024-02-22T10:44:07Z,"796ff8d4-ffae-4c88-896b-2c1dc46fb8d3"
23,"Trust poids du corps","wix:video://v1/796ff8_43971245802c4a9b9da0fba5c0924712/23.%20Trust%20poids%20du%20corps%20et%20%C3%A9lastique%20bande.mp4#posterUri=796ff8_43971245802c4a9b9da0fba5c0924712f000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/796ff8_f612f1863ebb4ce9b0f6bd845f35cc7a~mv2.png/Capture%20d'%C3%A9cran%202024-02-12%20234351.png#originWidth=1789&originHeight=1057","85c8b439-1157-4d08-8158-485e4dd5ca85","<p class=""font_8"">Fessier, cuisse, ischios.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">Assis devant le banc, le haut du dos en appui sur le siège.</p></li>
  <li><p class=""font_8"">Les pieds au sol un peu plus large que les épaules et les genoux fléchis.</p></li>
  <li><p class=""font_8"">Le fessier proche du sol.</p></li>
  <li><p class=""font_8"">L’élastique bande au-dessus des genoux</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Poussez sur les talons dans le sol et monter les hanches vers le plafond aussi haut que</p></li>
  <li><p class=""font_8"">possible.</p></li>
  <li><p class=""font_8"">Puis descendre le fessier en fléchissant les genoux.</p></li>
  <li><p class=""font_8"">Expirer sur le monté et tenir les abdominaux.</p></li>
</ol>","[""Intermédiaire""]","[""Fessier jambe""]","<p class=""font_8""><strong>3x 15 à 20</strong> répétitions</p>","<p class=""font_8"">dos</p>","/videos/trust-poids-du-corps",,"035f3c09-52ce-4708-b1a3-80745a6da661",2024-02-12T22:28:25Z,2024-02-16T19:49:37Z,"796ff8d4-ffae-4c88-896b-2c1dc46fb8d3"
6,"7.6 - Tirage assis à la poulie ou élastique","wix:video://v1/796ff8_67277b22d49147dfb1c0c324f681d5ec/3.%20Tirage%20assis%20%C3%A0%20la%20poulie%20basse.mp4#posterUri=796ff8_67277b22d49147dfb1c0c324f681d5ecf000.jpg&posterWidth=1920&posterHeight=1080","wix:image://v1/796ff8_d57e981741da45db8c4b1ad8ab3fa90a~mv2.png/Capture%20d%E2%80%99%C3%A9cran%202024-02-16%20%C3%A0%2008.43.21.png#originWidth=2134&originHeight=1192",,"<p class=""font_8"">Dos, biceps.</p>","<ul class=""font_8"">
  <li><p class=""font_8"">Assis avec la courbe lombaire neutre.</p></li>
  <li><p class=""font_8"">Les pieds sur le support.</p></li>
  <li><p class=""font_8"">Les bras tendus vers l’avant.</p></li>
  <li><p class=""font_8"">Les mains sous les épaules.</p></li>
</ul>","<ol class=""font_8"">
  <li><p class=""font_8"">Tirer les coudes vers l’arrière et resserrer les omoplates.</p></li>
  <li><p class=""font_8"">Puis revenir bras tendus sans bloquer</p></li>
  <li><p class=""font_8"">Inspirer en serrant les omoplates.</p></li>
  <li><p class=""font_8"">Tenir les abdominaux.</p></li>
</ol>","[""Tout niveau""]",,"<p class=""font_8""><strong>3x 12</strong> répétitions</p>","<p class=""font_8"">Aucune</p>","/videos/7.6---tirage-assis-%C3%A0-la-poulie-ou-%C3%A9lastique","[""c62cc186-ee1f-44f9-82d8-2d53653e237a""]","0394fdb6-fc31-40e8-8859-590a0f75beae",2024-02-16T01:18:47Z,2024-02-16T08:05:05Z,"796ff8d4-ffae-4c88-896b-2c1dc46fb8d3"
