Title;S3 Video URL;S3 Match File;S3 Match Score;Image de couverture;Muscle cible;Position de depart;Mouvement;Thème;serie;Contre-indication
Crunch sur ballon pieds au sol + triceps;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/groupes-musculaires/abdos/18.+Crunch+sur+le+ballon+pieds+au+sol+%2B+triceps+F.mp4;groupes-musculaires/abdos/18. Crunch sur le ballon pieds au sol + triceps F.mp4;0.9383;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/18.+Crunch+sur+le+ballon+pieds+au+sol+%2B+triceps+F-thumb.jpg";Droit de l’abdomen, transverse, triceps et épaule.;"Fessier et haut du dos sur le ballon.

Bras tendus au-dessous de la tête.

Genoux fléchis et pieds au sol.";"Relever le buste, en gardant l’espace d’un point entre le menton et le corps.

Maintenir les bras tendus.

Redescendre en posant le haut du dos sur le ballon, bras tendus.

Fléchir les coudes et amener l’haltère derrière la tête.

Puis tendre les bras.

Expirez en faisant le mouvement.";Crunch;3x 15 à 20 répétitions;épicondylite
Extension de hanche à quatre pattes jambes tendues;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/groupes-musculaires/fessiers-jambes/61.+Extension+de+hanche+a%CC%80+quatre+pattes+jambes+tendues.mp4;groupes-musculaires/fessiers-jambes/61. Extension de hanche à quatre pattes jambes tendues.mp4;1;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/61.+Extension+de+hanche+a%CC%80+quatre+pattes+jambes+tendues-thumb.jpg";Fessier, épaules, abdominaux.;"A quatre pattes, en appui sur les avant-bras.

Coudes et épaules alignées.

Genoux et hanche forme un angle de 90°.

Une jambe tendue.

Courbe lombaire neutre.";"Monter la jambe un peu plus haut que le fessier.

Revenir toucher la pointe des pieds au sol et repartir.

Expirer lors de la montée.";Extension;3x15 répétitions;aucune
;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/groupes-musculaires/biceps/6.+Biceps+a%CC%80+genoux+en+appui+sur+le+ballon+%2B+halte%CC%80re.mp4;groupes-musculaires/biceps/6. Biceps à genoux en appui sur le ballon + haltère.mp4;0;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/6.+Biceps+a%CC%80+genoux+en+appui+sur+le+ballon+%2B+halte%CC%80re-thumb.jpg";;;;;;
DV militaire position de fente + haltères;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/programmes-predefinis/pectoraux/2.+DV+position+de+fente+%2B+e%CC%81latique+.mp4;programmes-predefinis/pectoraux/2. DV position de fente + élatique .mp4;0.7059;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/2.+DV+position+de+fente+%2B+e%CC%81latique+-thumb.jpg";épaules, biceps, abdominaux.;"En appui sur la jambe avant, le genou légèrement fléchit. L’autre jambe est en arrière.

Les coudes fléchis et les haltères au niveau des épaules.

Les poignets dirigés vers l’extérieur.";"Monter les haltères vers l’avant et au-dessus de la tête.

Revenir lentement en fléchissant les coudes, en position de départ.

Tenir les abdominaux.";Élévation frontale et latérale;3x12 répétitions;problème d’épaule
Abduction des hanches incliné + petits mouvements;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/programmes-predefinis/machine/13.+Fessier+abduction+de+hanche+incline%CC%81+%2B+petits+mouvements.mp4;programmes-predefinis/machine/13. Fessier abduction de hanche incliné + petits mouvements.mp4;0.9;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/13.+Fessier+abduction+de+hanche+incline%CC%81+%2B+petits+mouvements-thumb.jpg";Abducteur, TFL, moyen fessier.;"Assis avec le dos incliné vers l’avant.

Les genoux contre les coussinets intérieurs.

Les pieds placer sur la première barre des plateaux.";"Ouvrir le plus possible les hanches sans bouger le bassin.

Maintenir le mouvement et faire de petits mouvements.";Fessier;3x 12 répétitions;aucune
Rowing sur 1 jambe + 1 bras;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/groupes-musculaires/dos/36.+Rowing+sur+une+jambe+%2B+1+bras.mp4;groupes-musculaires/dos/36. Rowing sur une jambe + 1 bras.mp4;0.9231;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/36.+Rowing+sur+une+jambe+%2B+1+bras-thumb.jpg";Grand dorsal, biceps, cheville.;"Le genou légèrement fléchit et la cheville de la jambe avant sont alignés.

Le pied de la jambe arrière décollé.

Bras tendu vers le bas.

Courbe lombaire neutre.";"Maintenir la posture en équilibre et tirer le coude vers l’arrière.

La main vient à hauteur de la taille.

Tenir les abdominaux.";Rowing;3X15 répétitions;aucune
Développé couché guidé sur machine Smith;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/programmes-predefinis/machine/6.+Fessier+Jambe+squat+guide%CC%81+a%CC%80+la+machine+Smith.mp4;programmes-predefinis/machine/6. Fessier Jambe squat guidé à la machine Smith.mp4;0.619;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/6.+Fessier+Jambe+squat+guide%CC%81+a%CC%80+la+machine+Smith-thumb.jpg";Pectoraux, triceps.;"Couché sur le banc, courbe lombaire neutre et les pieds ancrés au sol.

Les bras tendus avec la barre à hauteur du haut de la poitrine.

Prise de la barre large.";"Débloquer la barre en la soulevant et en tournant les poignets.

Descendre la barre sur le haut de la poitrine en fléchissant les coudes.

Remonter la barre bras tendu sans bloquer les coudes à hauteur du haut de la poitrine.

Tenir les abdominaux.";Pectoraux;3x 12 répétitions;épaule, épicondylite
Extension de jambes tendues et bras tendus avec/sans poids;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/groupes-musculaires/abdos/8.+Extension+de+jambes+tendues+te%CC%82te+au+sol+F.mp4;groupes-musculaires/abdos/8. Extension de jambes tendues tête au sol F.mp4;0.7273;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/8.+Extension+de+jambes+tendues+te%CC%82te+au+sol+F-thumb.jpg";Transverse – muscle profond de l’abdomen, épaule;"Coude et épaule alignés en appuie sur les genoux.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.

Genoux fléchis.";"Maintenir la position en contractant un peu les abdominaux.

Inspirer avec le nez et expirer avec la bouche.";Extension de jambes;3x 15 répétitons;douleur lombaire
Trust poids du corps;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/groupes-musculaires/fessiers-jambes/35.+Squat+poid+du+corps+F.mp4;groupes-musculaires/fessiers-jambes/35. Squat poid du corps F.mp4;0.7805;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/35.+Squat+poid+du+corps+F-thumb.jpg";Fessier, cuisse, ischios.;"Assis devant le banc, le haut du dos en appui sur le siège.

Les pieds au sol un peu plus large que les épaules et les genoux fléchis.

Le fessier proche du sol.

L’élastique bande au-dessus des genoux";"Poussez sur les talons dans le sol et monter les hanches vers le plafond aussi haut que

possible.

Puis descendre le fessier en fléchissant les genoux.

Expirer sur le monté et tenir les abdominaux.";Fessier jambe;3x 15 à 20 répétitions;dos
7.6 - Tirage assis à la poulie ou élastique;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/groupes-musculaires/dos/3.+Tirage+assis+a%CC%80+la+poulie+basse.mp4;groupes-musculaires/dos/3. Tirage assis à la poulie basse.mp4;0.7887;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/3.+Tirage+assis+a%CC%80+la+poulie+basse-thumb.jpg";Dos, biceps.;"Assis avec la courbe lombaire neutre.

Les pieds sur le support.

Les bras tendus vers l’avant.

Les mains sous les épaules.";"Tirer les coudes vers l’arrière et resserrer les omoplates.

Puis revenir bras tendus sans bloquer

Inspirer en serrant les omoplates.

Tenir les abdominaux.";;3x 12 répétitions;Aucune
