Title;Muscle cible;Position de depart;Mouvement;Thème;serie;Contre-indication
Crunch sur ballon pieds au sol + triceps;Droit de l’abdomen, transverse, triceps et épaule.;"Fessier et haut du dos sur le ballon.

Bras tendus au-dessous de la tête.

Genoux fléchis et pieds au sol.";"Relever le buste, en gardant l’espace d’un point entre le menton et le corps.

Maintenir les bras tendus.

Redescendre en posant le haut du dos sur le ballon, bras tendus.

Fléchir les coudes et amener l’haltère derrière la tête.

Puis tendre les bras.

Expirez en faisant le mouvement.";Crunch;3x 15 à 20 répétitions;épicondylite
Extension de hanche à quatre pattes jambes tendues;Fessier, épaules, abdominaux.;"A quatre pattes, en appui sur les avant-bras.

Coudes et épaules alignées.

Genoux et hanche forme un angle de 90°.

Une jambe tendue.

Courbe lombaire neutre.";"Monter la jambe un peu plus haut que le fessier.

Revenir toucher la pointe des pieds au sol et repartir.

Expirer lors de la montée.";Extension;3x15 répétitions;aucune
;;;;;;
DV militaire position de fente + haltères;épaules, biceps, abdominaux.;"En appui sur la jambe avant, le genou légèrement fléchit. L’autre jambe est en arrière.

Les coudes fléchis et les haltères au niveau des épaules.

Les poignets dirigés vers l’extérieur.";"Monter les haltères vers l’avant et au-dessus de la tête.

Revenir lentement en fléchissant les coudes, en position de départ.

Tenir les abdominaux.";Élévation frontale et latérale;3x12 répétitions;problème d’épaule
Abduction des hanches incliné + petits mouvements;Abducteur, TFL, moyen fessier.;"Assis avec le dos incliné vers l’avant.

Les genoux contre les coussinets intérieurs.

Les pieds placer sur la première barre des plateaux.";"Ouvrir le plus possible les hanches sans bouger le bassin.

Maintenir le mouvement et faire de petits mouvements.";Fessier;3x 12 répétitions;aucune
Rowing sur 1 jambe + 1 bras;Grand dorsal, biceps, cheville.;"Le genou légèrement fléchit et la cheville de la jambe avant sont alignés.

Le pied de la jambe arrière décollé.

Bras tendu vers le bas.

Courbe lombaire neutre.";"Maintenir la posture en équilibre et tirer le coude vers l’arrière.

La main vient à hauteur de la taille.

Tenir les abdominaux.";Rowing;3X15 répétitions;aucune
Développé couché guidé sur machine Smith;Pectoraux, triceps.;"Couché sur le banc, courbe lombaire neutre et les pieds ancrés au sol.

Les bras tendus avec la barre à hauteur du haut de la poitrine.

Prise de la barre large.";"Débloquer la barre en la soulevant et en tournant les poignets.

Descendre la barre sur le haut de la poitrine en fléchissant les coudes.

Remonter la barre bras tendu sans bloquer les coudes à hauteur du haut de la poitrine.

Tenir les abdominaux.";Pectoraux;3x 12 répétitions;épaule, épicondylite
Extension de jambes tendues et bras tendus avec/sans poids;Transverse – muscle profond de l’abdomen, épaule;"Coude et épaule alignés en appuie sur les genoux.

Tête dans le prolongement de la colonne.

Courbe lombaire neutre.

Genoux fléchis.";"Maintenir la position en contractant un peu les abdominaux.

Inspirer avec le nez et expirer avec la bouche.";Extension de jambes;3x 15 répétitons;douleur lombaire
Trust poids du corps;Fessier, cuisse, ischios.;"Assis devant le banc, le haut du dos en appui sur le siège.

Les pieds au sol un peu plus large que les épaules et les genoux fléchis.

Le fessier proche du sol.

L’élastique bande au-dessus des genoux";"Poussez sur les talons dans le sol et monter les hanches vers le plafond aussi haut que

possible.

Puis descendre le fessier en fléchissant les genoux.

Expirer sur le monté et tenir les abdominaux.";Fessier jambe;3x 15 à 20 répétitions;dos
7.6 - Tirage assis à la poulie ou élastique;Dos, biceps.;"Assis avec la courbe lombaire neutre.

Les pieds sur le support.

Les bras tendus vers l’avant.

Les mains sous les épaules.";"Tirer les coudes vers l’arrière et resserrer les omoplates.

Puis revenir bras tendus sans bloquer

Inspirer en serrant les omoplates.

Tenir les abdominaux.";;3x 12 répétitions;Aucune
Cheville flament sur airex;Muscles collatéraux des cheville, genoux, hanches.;"Debout en appui sur un pied au centre du tapis avec le genou légèrement fléchit.

Abdominaux contractés.";Tenir l’équilibre le plus longtemps possible.;Jambe;3x15 répétitions;aucune
Pullover couché banc + genoux à 90° + élastique;Pectoraux, épaules, triceps.;"Couché sur le banc, les genoux fléchis à 90°.

Les bras tendus avec l’élastique à hauteur du haut de la poitrine.

Courbe lombaire neutre.";"Descendre les bras tendus derrière la tête sans bloquer les coudes à hauteur des oreilles.

Puis tirer l’élastique bras tendus vers l’avant, à hauteur des côtes.

Tenir les abdominaux.";Pullover;3x12 répétitions;épaule
Triceps debout + coude contre tête;Triceps;Debout les pieds largeur des épaules ou un peu plus.;"Tendre le bras vers le plafond et fléchir le coude.

Le bras près de la tête.

Le coude avec l’autre main.

Gonfler le ventre à chaque inspiration et vider l’air des poumons à chaque expiration.";Triceps;Maintenir 1 minute et plus.;aucune
4.3 - Squat avec haltères;fessier, cuisse, ischio, mollet.;"Debout, pieds parallèles largeur des épaules.

Haltère aux mains.";"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Les genoux peuvent avancer jusqu’à la pointe des pieds.

Amener les arrières cuisses parallèlement au sol.

Remonter sans bloquer les genoux.

Inspirer sur la descente et tenir les abdominaux.";Jambe;3x 15 répétitions;Aucune
Soulevé de terre dead lift;Fessier, ischio, mollet, dos.;"Debout, les pieds largeur des épaules ou un peu plus.

Barre à la main.

Prise de la barre extérieure des cuisses.";"Pencher le dos (en l’allongeant) à partir des deux hanches et maintenir la courbe lombaire.

Fléchir légèrement les genoux en gardant toujours le corps parallèle au sol.

Laisser glisser la barre le long des jambes jusqu’au-dessous des genoux.

Revenir en tendant les genoux et en redressant le tronc.

Tenir les abdominaux. Inspirer sur la descente.";Soulever de terre;3x15 répétitions;genoux, dos
DV couché banc + relevé de bassin + haltère;Pectoraux, triceps, chaines postérieures.;"Couché sur le banc, le bassin décollé, les genoux fléchis et les pieds sur le banc.

Les bras tendus avec les haltères à hauteur de la poitrine.";"Descendre les haltères légèrement sous les épaules en fléchissant les coudes.

Remonter les bras tendus sans bloquer les coudes à hauteur de la poitrine.

Tenir les abdominaux.";Développé;3x12 répétitions;épaule
9.1 - Pompe mains larges au sol;pectoraux, triceps.;"Les mains plus larges que les épaules.

Les pieds écartés, ancrés au sol

Courbe lombaire neutre.";"Descendre le buste le plus bas possible, en fléchissant les deux coudes.

Puis remonter les bras tendus sans bloquer les coudes.

Tenir les abdominaux.";;3x 30 secondes;Aucune
Extension de hanche à quatre pattes + élastique;Fessier, épaules, abdominaux.;"A quatre pattes, en appui sur les avant-bras.

Coudes et épaules alignées.

Genoux et hanche forme un angle de 90°.

Une jambe tendue.

Elastique au centre du corps.

Courbe lombaire neutre.";"Monter la jambe un peu plus haut que le fessier.

Revenir toucher la pointe des pieds au sol et repartir.

Expirer lors de la montée.";Extension;3x15 répétitions;aucune
